,0,1,2,3
0,Common Name,"Bramble wattle. Gundabluey, Bardi bush",,
1,Family,Fabaceae,,
2,USDA hardiness,8-11,,
3,Known Hazards,None known,,
4,Habitats,"Found in a variety of habitats on plains and gentle slopes, frequently in sandy soils along watercourses; also on stony ridges and coastal dunes; at elevations up to 750 metres[286 , 418 ].",,
5,Range,Australia - all mainland states.,,
6,Edibility Rating,(4 of 5),,
7,Other Uses,(3 of 5),,
8,Weed Potential,Yes,,
9,Medicinal Rating,(2 of 5),,
10,Care (info),Tender Well drained soil Moist Soil Full sun,,
